TYPE OF LIMPING HARDWARE,MONTH AND YEAR,LIMPING SYMPTOMS,ROOT CAUSES,HIGH-LEVEL IMPACTS,TIME TO DETECT,TIME TO RESOLVE,FIXED or REPLACED?,EXTRA NOTES
PROC,October - November 2015,"The Company 5 Observability stack ingests ~2.8 billion metrics a minute.  We collect metrics on a minute interval.  The metrics processing is latency sensitive since users define alerts which are ran on the most recent data.  In October we started noticing that the metric write time was increasing, and sometimes taking more than a minute to process all the previous mintues metrics.  We had just recently added capacity to our database, but put in a request to add more since our write latency is proportional to the number of writes per minute and the number of machines in the cluster.  After adding more nodes to the database cluster we observed the write time actually increased.  It took a month to diagnose the problem, the BIOS was incorrectly downclocking the CPUs of the new machines being added to the database cluster.  These machines were limping along but were assigned the same number of shards and therefore requests of correctly clocked machines.  ",BIOS set the CPU frequency to a much lower speed than the machines were capable of. (GREAT GREAT!!) ,"Late Metric Writes resulted in false alerts, often times alerts are written to detect missing metrics since this is usually a signal that something is wrong.  When metrics are processed late these alerts incorrectly fire.  ",1 month,??,FIXED: Updated bios,as soon as we updated the bios to appropriately set the CPU frequency the latency of writes returned to expected times
PROC,,CPU was throttled to about 50%,"A particular sku of machines in the data center had 4 machines sharing 2 power supplies, however when one power supply failed, there was not enough power to run all 4 machines at normal capacity, so it throttled the CPU on each machine by 50%   (GREAT GREAT!)","Low success rate on an indexing service, because the machines could not keep up with the number of requests","This took a while, a couple days, to resolve because we had no visibility into power supply health.  ",??,,
SSDD,,"This was in a Hadoop cluster and resulted in data loss, with that many machines failing regularly, a factor of three replication wasn't enough.  Also the servers would not shut down properly because that required a successful write to disk to do so.  So we saw lower success rates because broken machines with failed SSDs would try to serve traffic, and couldn't shut themselves down.   ",The controller on this brand of SSDs was bad and would stop responding about 3-5% of the drives would be failing each week (GOOD!),"lost data, performance degradation visible as failing jobs. ",,??,Replaced all SSDs of this SKU,
DISK,,"Hadoop jobs would fail based on whether a certain seciont of a jar file was accessed by the Hadoop task.  The taks that accesssed a corrupt portion of the disk where the jar file was mapped would fail.  This originally surfaces as JVM fault accessing memory error, but was actually a disk failure.  Retrying the job on a different machine without the corrupted disk would succeed.  Eventually the disk monitor decided that this particular disk was prone to frequent faults, so offlined the disk and the faults went away","Unknown (OKAY, not really limpware?)","Hadoop jobs had to be retried multiple times to run successfully, this was handled in software.  This case is interesting because it presented as a JVM error when failing.  so it was difficult to debug or ascertain what was actually happening.  ",,??,,
NET,2016,"Poor performance via our firewall appliance (a SonicWALL SM9200).  Individual TCP (and UDP) flows were limited to about 150 Mbps;
Asymmetric loss going on that
measured at less than 1%.","Disabled optimization settings;
Accumulated CRC errors",perturbed TCP flows,2-3 months,??,FIXED: firmware update,[More detailed stories in email]
NET,2000,"MAC learning not being very responsive;
Special type of traffic (ie. multicast) not working well.",traffic floods,,,??,,
NET,2016,"High (10%ish)
packet loss rate",clogged air filter,"optics in the switch start to failing due to high temperature, and problem return.",2 days,??,FIXED: replaced filters,
NET,2005,High packet loss rate,bad copper cables and pinched fiber optics,Inter-cluster communication issues.,"1-2 days, multiple occurences (2)",??,REPLACED transceivers/cables or FIXED pinched fibers,
DISK,2010,Some disks that went into “read after write” mode when outside of their normal operating parameters.,disk get too cold,Poor performance,~ months,??,REPLACED: drives,
DISK,2013-06-24,"RAID controller on boss node locked up. After restart, its working, but there are (more than) occasional timeouts and retries.",,"boss appears to be running slowly with occasional
pauses. This might manifest as swapins failing or other control
functions failing.",2013-06-26,??,REPLACED,
MEM,03/1976,Machine would branch to location that was not a valid address,"Machine ran fine in Minnesota but would only run for a few minutes in Nat'l Labs Y, memory system was not delivered with any memory protection (CRC/Parity/etc.).  Cosmic particle event incidence is many times higher at Nat'l Labs Y Altitude (7500 ft) and single/multi bit upsets were frequent enough to make the machine non functional.",Memory system was shipped back and reworked. ,5 months.,??,Hardware memory protection (integrated circuits) was developed and added to the memory controller boards.,"This was the first Cray system ever delivered and ran only a
few minutes before the first upset at Nat'l Labs Y.  The machine ran reliably for hours in Minnesota."
PROC,05/2002,Nodes would branch to an address that doesn’t exist and hang the node,"Unprotected bus on cpu card, cosmic events would cause address bus to corrupt addresses","Nodes would hang, progress indicators on applications would kill job, node would be taken out of service, job would restart on different nodes, large long running jobs would be effected about once a day","Months to diagnose, finally took node to Nat'l Labs Y Neutron Science Center and put machine in neutron beam which simulates many times the cosmic particle bombardment than sea level and many times low space orbit even.  Statistically showed that node hangs occurred at about the incident rate of cosmic particle upsets for the area involved.  Finally an analysis by the vendor discovered an unprotected bus, once the beam/statistical analysis had been done.",??,"Problem was never fixed, it was decided we would live with the problem due to the fact that it only affected large long running jobs about once per day and those jobs have restart capability.",Vendor provided financial assistance to compensate
PROC,12/2005,System would corrupt data during calculations,"Binning issue, at advertised clock rate, at advertised temperature range, at advertised voltage range, CPU would corrupt calculation.  It was never determined exactly in what way the CPU was failing other than a yield/binning issue.",System would not calculate correct answers reliably until after resolution was applied.,"Time to diagnose was months due to not reliably able to reproduce, needed a statistical approach to characterize the issue and one to determine if resolution worked.",??,Fix involved turning down clock slightly and putting a software monitor on processor temperature and voltage and killing the node if voltage/temperature got close to the edge of the binned values.  ,Vendor provided financial assistance to compensate
PROC,7/2008,"System would corrupt calculation, only on certain applications",Capacitor on power control logic on motherboard under certain loads would not provide adequate power/voltage to CPU which would put the processor out of spec for bin for less than a millisecond,System would not provide reliable calculations for certain applications until resolution applied,Time to diagnosis was months due to the fact that the problem could not be reliably reproduced thus it turned into a statistical problem for characterizing and for determining if resolution fix worked.,??,Small capacitor was added to each motherboard on site for thousands of nodes.,Vendor provided financial assistance to compensate
